Material	Editions	Blocks	Cases
papyrus	37524	69590	599530
unknown	42132	46946	75117
ostrakon	19709	20598	23674
kalkstein	9359	10576	13205
sandstein	5802	6289	7725
marmor	3465	3928	7035
gesteine	3594	3847	4910
holz	2718	3798	1134
ton	3116	3363	1061
bronze	1075	1665	5063
marmor, weiß	1080	1227	1899
blei	562	776	824
marmor, geädert / farbig	517	590	922
stone	1	482	2053
pergament	340	392	1044
silber	262	286	47
parchment	86	284	2200
tuff	183	202	184
pottery	142	190	537
gesteine unbestimmt	162	167	269
granit	148	160	156
gold	99	115	17
travertin	104	113	100
oolith	99	107	116
wood	29	104	133
holz (?)	93	103	4
