Mode	Cases
0	118
1	221693
2	133822
3	87108
4	58923
5	43724
6	32474
7	25717
8	20176
9	16446
10	13284
11	11262
12	9485
13	8207
14	7149
15	6337
16	5672
17	4834
18	4274
19	3927
20	3418
21	3143
22	2802
23	2504
24	2306
25	2078
26	1880
27	1691
28	1476
29	1347
30	1236
31	1139
32	1062
33	967
34	807
35	819
36	682
37	717
38	621
39	537
40	475
41	453
42	374
43	349
44	306
45	303
46	240
47	244
48	198
49	179
50	164
51	156
52	156
53	149
54	130
55	136
56	100
57	123
58	91
59	98
60	72
61	72
62	79
63	78
64	73
65	72
66	48
67	38
68	48
69	32
70	35
71	49
72	39
73	38
74	42
75	24
76	29
77	27
78	29
79	26
80	33
81	25
82	21
83	16
84	12
85	15
86	14
87	6
88	13
89	13
90	12
91	10
92	9
93	12
94	8
95	8
96	4
97	9
98	4
99	9
100	13
101	8
102	6
103	5
104	5
105	5
106	5
107	3
108	6
109	5
110	7
111	4
112	1
113	2
114	6
115	7
116	4
117	6
118	3
119	5
120	4
121	8
122	6
123	8
124	5
125	3
126	3
127	8
128	3
129	4
130	7
131	3
132	1
133	2
134	1
136	3
138	1
140	1
141	1
142	2
144	3
145	3
146	1
148	2
149	3
151	3
152	1
153	1
155	1
156	2
158	2
161	1
162	1
163	3
164	1
165	1
168	1
169	2
170	1
171	2
172	2
175	1
178	1
181	1
183	2
184	1
185	1
186	2
187	1
189	1
203	1
204	1
206	1
207	1
208	2
212	2
213	1
223	1
240	1
250	1
267	1
274	1
317	1
573	1
